Protein ID,Gene ID,CCDS ID,BioGrid ID,Molecular Function-GO Annot,Molecular Function-Keyword,Biological processes-GO Annot,Biological processes-Keywords,Cellular Component-Go Annot,Cellular Component-Keywords,Disease-OMIM ID,Disease-Keywords,Technical Terms-Keywords,Polymorphism
C9JJY0,,,,,,transcription initiation from RNA polymerase II promoter,,Nucleus,,,,"Complete proteome;
Reference proteome",
C9JJZ6,,,,,,,,Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
C9JLN7,,,,RNA polymerase II transcription cofactor activity,Activator,"transcription, DNA-templated","Transcription;
Transcription regulation",Nucleus,Nucleus,,,"Complete proteome;
Proteomics identification;
Reference proteome",
C9JN33,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
C9JQP8,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
C9JQV6,4287,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,"Nucleus;
Plasma Membrane",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
C9JS61,,,,nucleic acid binding,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
C9JTA2,,,,,,mitotic spindle assembly checkpoint,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
C9JUG3,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
C9JVY5,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
C9JWK5,,,,RNA polymerase II transcription cofactor activity,Activator,"transcription, DNA-templated","Transcription;
Transcription regulation",Nucleus,Nucleus,,,"Complete proteome;
Reference proteome",
C9JYI7,,,,,,,,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
C9K086,,,,,,mitotic spindle assembly checkpoint,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
C9K0C9,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
C9K0S7,,,,protein dimerization activity,,"humoral immune response;
positive regulation of transcription, DNA-templated;
regulation of osteoclast differentiation",,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
D2CT63,,,,DNA binding,,"DNA-templated transcription, initiation",,,,,,,
D2CT64,,,,DNA binding,,"DNA-templated transcription, initiation",,,,,,,
D2CT65,,,,DNA binding,,"DNA-templated transcription, initiation",,,,,,,
D2CT66,,,,DNA binding,,"DNA-templated transcription, initiation",,,,,,,
D2CT68,,,,DNA binding,,"DNA-templated transcription, initiation",,,,,,,
D2CT69,,,,DNA binding,,"DNA-templated transcription, initiation",,,,,,,
D2CT71,,,,DNA binding,,"DNA-templated transcription, initiation",,,,,,,
D2CT72,,,,DNA binding,,"DNA-templated transcription, initiation",,,,,,,
D2CT73,,,,DNA binding,,"DNA-templated transcription, initiation",,,,,,,
D2CTD2,,,,,,,,,,,,,
D2CTD5,,,,,,,,,,,,,
D2CTD6,,,,,,,,,,,,,
D2CTD9,,,,,,,,,,,,,
D2CTE1,,,,,,,,,,,,,
D2CTE3,,,,,,,,,,,,,
D2CTE8,,,,,,,,,,,,,
D2CTE9,,,,,,,,,,,,,
D2CTF0,,,,,,,,,,,,,
D2CTF1,,,,,,,,,,,,,
D2CTF2,,,,,,,,,,,,,
D2CTF3,,,,,,,,,,,,,
D2CTF4,,,,,,,,,,,,,
D2CTF5,,,,,,,,,,,,,
D2CTF7,,,,,,,,,,,,,
D2CTF8,,,,,,,,,,,,,
D2CTG1,,,,,,,,,,,,,
D2CTG3,,,,,,,,,,,,,
D2KF13,,,,"androgen receptor activity;
sequence-specific DNA binding;
steroid binding;
zinc ion binding","DNA-binding;
Receptor","transcription, DNA-templated","Transcription;
Transcription regulation",Nucleus,Nucleus,,,,
D3DQT7,,,,"ATP binding;
microtubule motor activity",,microtubule-based movement,,,,,,,
D3DR32,,,,"ATP binding;
microtubule binding;
microtubule motor activity",Motor protein,"microtubule-based movement;
regulation of mitotic nuclear division",,,,,,,
D3DSN9,,,,methyltransferase activity,"Methyltransferase;
Transferase",protein methylation,,,,,,,
D3DT44,,,,"glutamate-cysteine ligase catalytic subunit binding;
ligase activity",Ligase,glutathione biosynthetic process,,,,,,,
D3DTW3,,,,RNA binding,,,,,,,,,
D3DUR9,,,,nucleic acid binding,,,,,,,,,
D3DUX0,,,,"ATP binding;
protein kinase activity","Kinase;
Transferase",,,,,,,,
D3DV25,,,,"nuclear receptor activity;
sequence-specific DNA binding;
steroid hormone receptor activity;
zinc ion binding","DNA-binding;
Receptor","transcription, DNA-templated","Transcription;
Transcription regulation",Nucleus,Nucleus,,,,
D3DVA8,,,,,,,,,,,,,
D3DVB3,,,,,,,,Nucleus,,,,,
D3DVJ3,,,,,,,,,,,,,
D3DW56,84993,,,,,,,,,,,,
D3DWL0,,,,cytoskeletal protein binding,,,,Cytoskeleton,,,,,
D3DWY6,,,,thiol-dependent ubiquitin-specific protease activity,,"DNA repair;
protein K63-linked deubiquitination",,Nucleus,,,,,
D3VVA9,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVB0,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVB2,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVB3,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVB6,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVC4,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVC7,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVC9,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVD1,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVD3,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVD6,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVD9,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVE3,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVE5,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVE6,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVF3,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVF6,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVF7,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVF9,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVG0,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVG1,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVG4,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVG5,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVH0,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVH3,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVH4,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVH5,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVH7,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVH8,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVI0,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVI1,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVI2,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVI3,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVI5,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVI8,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVJ1,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVJ2,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVJ4,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVJ5,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVJ7,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVJ8,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVJ9,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVK1,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVK3,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVK7,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVK8,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVL2,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVL4,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVL5,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVL6,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVL7,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVL8,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVL9,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVM0,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVM1,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVM3,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVM4,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVM5,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVN0,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVN1,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVN2,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVN3,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVN4,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVN5,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVN7,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVN9,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVP0,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVP4,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVP5,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVP8,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVP9,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVQ3,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVQ5,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVQ6,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVQ7,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVR2,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVR3,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVR4,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVR5,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVR6,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVR7,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVR8,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVR9,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVS0,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVS1,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVS5,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVT0,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3VVT1,,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,,,,,,
D3VVT6,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,,,,,,
D3YTJ2,,,,,,,,Cytoskeleton,,,,"Complete proteome;
Reference proteome",
D5HR46,,,,,,,,,,,,,
D6PAV9,,,,calcium ion binding,,,,,,,,,
D6RBH1,,,,,,,,Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
D6RC65,,,,,,cell-cell adhesion,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
D6RD21,,,,protein dimerization activity,,,,,,,,"Complete proteome;
Reference proteome",
D6RDY6,,,,,,SRP-dependent cotranslational protein targeting to membrane,,Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
D6REC4,,,,,,,,Other locations,"Cell projection;
Cilium;
Flagellum",,,"Complete proteome;
Reference proteome",
D6REX3,,,,,,,,"Cytosol;
Other locations",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
D6RF55,,,,,,cell-cell adhesion,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
D6RFM1,,,,thyrotropin-releasing hormone activity,Hormone,hormone-mediated signaling pathway,,Extracellular region or secreted,Secreted,,,"Complete proteome;
Proteomics identification;
Reference proteome",
D6RGZ3,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
D6RIA3,285556,,,,,,,,,,,"Complete proteome;
Reference proteome",
D6RTK6,158471,,,pyrophosphatase activity,,,,Other locations,,,,,
D6W623,,,,,,,,,,,,,
E5RGT6,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E5RH64,,,,"5'-nucleotidase activity;
magnesium ion binding",,,,Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E7ENC5,,,,,,cell-matrix adhesion,,Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E7ENN3,,,,actin filament binding,Actin-binding,cytoskeletal anchoring at nuclear membrane,,"Nucleus;
Other locations",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E7ENS9,,,,carbohydrate binding,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E7EPJ2,,,,calcium ion binding,,endocytosis,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E7EPN6,5316,,,DNA binding,DNA-binding,"regulation of transcription, DNA-templated",,Nucleus,Nucleus,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E7EPN9,23215,,,,,,,Cytosol,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E7EQS8,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E7ER26,63977,,,nucleic acid binding,,,,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E7ERW7,,,,guanyl-nucleotide exchange factor activity,,"actin cytoskeleton organization;
small GTPase mediated signal transduction",,Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E7ESB6,,,,,,,,Cytosol,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E7ESR8,,,,,,,,,,,,"Complete proteome;
Reference proteome",
E7ET67,,,,chloride channel activity,"Chloride channel;
Ion channel",,"Ion transport;
Transport",Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E7ETD6,,,,"metal ion binding;
methylated histone binding",,,,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E7EU81,,,,,,,,Golgi apparatus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E7EVZ1,79776,,,"sequence-specific DNA binding;
zinc ion binding",DNA-binding,"regulation of transcription, DNA-templated",,Nucleus,Nucleus,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E7EWD6,,,,DNA binding,,"regulation of transcription, DNA-templated;
transcription, DNA-templated",,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E7EWM1,,,,"ligand-dependent nuclear receptor transcription coactivator activity;
protein dimerization activity",,"regulation of transcription, DNA-templated;
transcription, DNA-templated","Transcription;
Transcription regulation",Nucleus,Nucleus,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E7EX82,80012,,,zinc ion binding,,,,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E9PAK5,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E9PBB9,,,,,,,,Plasma Membrane,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E9PC87,23023,,,,,,,Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E9PD50,9887,,,,,,,"Cytoskeleton;
Cytosol",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E9PDN5,,,,"actin binding;
dystroglycan binding;
zinc ion binding",Actin-binding,,,"Cytoskeleton;
Plasma Membrane;
Other locations","Cell junction;
Cell membrane;
Cytoplasm;
Cytoskeleton;
Membrane;
Postsynaptic cell membrane;
Synapse",,,"Complete proteome;
Proteomics identification;
Reference proteome",
E9PE19,,,,"metal ion binding;
methylated histone binding",,,,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E9PE96,,,,,,synapse assembly,,Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E9PED7,,,,"metalloendopeptidase activity;
zinc ion binding","Hydrolase;
Metalloprotease;
Protease",multicellular organism development,,Extracellular region or secreted,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E9PF19,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E9PFB4,51267,,,carbohydrate binding,,,,Other locations,Membrane,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E9PFB9,343099,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E9PFH2,,,,"DNA binding;
metal ion binding",,,,Nucleus,Nucleus,,,"Complete proteome;
Reference proteome",
E9PHH0,,,,DNA binding,,,,"Nucleus;
Other locations",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E9PIY2,,,,,,de novo centriole assembly involved in multi-ciliated epithelial cell differentiation,,Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E9PL27,,,,nucleic acid binding,,"regulation of transcription, DNA-templated",,Other locations,,,,"Complete proteome;
Reference proteome",
E9PL74,,,,,,,,"Nucleus;
Other locations",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E9PLV1,,,,"metal ion binding;
nucleic acid binding",,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E9PMC9,,,,,,"regulation of transcription, DNA-templated",,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E9PMP7,,,,,,"regulation of cell adhesion;
regulation of signaling",,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E9PMS6,,,,metal ion binding,,"regulation of cell adhesion;
regulation of signaling",,Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E9PMT2,4008,,,metal ion binding,,"regulation of cell adhesion;
regulation of signaling",,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E9PN76,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E9PNA6,,,,proton transmembrane transporter activity,,ATP hydrolysis coupled proton transport,"Hydrogen ion transport;
Ion transport;
Transport",Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E9PP99,,,,glycine N-acyltransferase activity,,,,Mitochondrion,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E9PQ01,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E9PQM3,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E9PR38,,,,RNA binding,,,,"Cytosol;
Nucleus",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E9PRS0,,,,"metal ion binding;
nucleic acid binding",,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
E9PSG0,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F1D8P7,7376,,,"DNA binding transcription factor activity;
sequence-specific DNA binding;
steroid hormone receptor activity;
zinc ion binding","DNA-binding;
Receptor","transcription, DNA-templated","Transcription;
Transcription regulation",Nucleus,Nucleus,,,,
F1T0K4,1657,,,,,,,,,,,,
F2FB34,,,,,,regulation of autophagy,,Extracellular region or secreted,,,,,
F2Z3A8,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F5GWA7,,,,,,,,Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F5GWT4,65125,,,"ATP binding;
protein serine/threonine kinase activity",,,,Cytosol,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F5GXF5,,,,"metal ion binding;
methylated histone binding",,,,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F5GXQ8,,,,actin filament binding,Actin-binding,cytoskeletal anchoring at nuclear membrane,,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F5GZK9,,,,enzyme activator activity,,deadenylation-dependent decapping of nuclear-transcribed mRNA,,"Cytosol;
Other locations",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F5H0I3,6660,,,DNA binding,DNA-binding,,,Nucleus,Nucleus,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F5H211,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,"Nucleus;
Plasma Membrane",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F5H269,1657,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F5H2E6,,,,,,"regulation of transcription, DNA-templated",,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F5H2X7,25792,,,"cyclin binding;
nucleic acid binding;
zinc ion binding",,"maintenance of protein location in nucleus;
positive regulation of DNA-dependent DNA replication initiation",,"Nucleus;
Plasma Membrane",Nucleus,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F5H4B6,,,,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F5H4N4,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F5H7D6,7090,,,,,"regulation of transcription, DNA-templated",,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F5H8E7,,,,"ATP binding;
extracellularly ATP-gated cation channel activity;
purinergic nucleotide receptor activity",,response to ATP,,"Plasma Membrane;
Other locations",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F6QTA4,,,,"ATP binding;
protein kinase activity",,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F6X344,,,,,,,,,,,,"Complete proteome;
Reference proteome",
F6XZD3,148741,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F8VQP2,6311,,,,,,,Cytosol,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F8VSD5,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F8VU11,25766,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F8VU39,11176,,,"DNA binding;
metal ion binding",,,,"Cytosol;
Nucleus",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F8VU56,5787,,,protein tyrosine phosphatase activity,"Hydrolase;
Protein phosphatase",,,Other locations,Membrane,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F8VVW7,,,,methyltransferase activity,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F8VVX6,,,,methyltransferase activity,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F8VW95,,,,,,,,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F8VWL0,,,,"transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding",,,,"Cytosol;
Nucleus",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F8VX55,,,,,,,,"Cytosol;
Nucleus",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F8VXC8,6601,,,"chromatin binding;
DNA binding",,"negative regulation of transcription by RNA polymerase II;
regulation of transcription from RNA polymerase II promoter involved in forebrain neuron fate commitment",,Nucleus,Nucleus,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F8VYL0,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F8VZC1,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F8W108,,,,DNA binding,,"regulation of transcription, DNA-templated",,"Nucleus;
Plasma Membrane",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F8W1J4,,,,tubulin binding,,"cilium assembly;
intraciliary transport",,Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F8W6A0,,,,,,"negative regulation of transcription, DNA-templated",,"Golgi apparatus;
Nucleus",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F8W726,9898,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F8W785,27333,,,,,,,"Golgi apparatus;
Other locations",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F8W946,83856,,,,,,,Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F8W9F9,65268,,,"ATP binding;
protein serine/threonine kinase activity",,,,Cytosol,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F8WAE6,,,,"beta-catenin binding;
RNA polymerase II transcription cofactor activity",,,,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F8WB05,,,,,,,,Cytosol,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F8WB06,,,,,,,,Cytosol,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F8WCI3,,,,,,,,"Cytoskeleton;
Other locations",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
F8WCU9,,,,DNA binding,,"regulation of transcription, DNA-templated",,"Nucleus;
Plasma Membrane",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
